result_count,comp_country,comp_iso,person_country,person_iso
225,Belgium,BE,Other European countries,RU
224,Other European countries,EE,Poland,PL
224,Other European countries,UA,Other European countries,IL
220,United Kingdom,GB,Other European countries,IL
219,Other European countries,NO,Other European countries,LT
217,Netherlands,NL,Other European countries,SK
216,Other European countries,IT,Other European countries,SE
216,Other European countries,SK,Switzerland,CH
214,France,FR,Other European countries,DK
213,Switzerland,CH,Other European countries,PT
212,Netherlands,NL,Other European countries,DK
210,Other European countries,AT,Other European countries,RU
208,Other European countries,RS,Other European countries,RO
207,Other European countries,ME,Other European countries,RU
206,Hungary,HU,Other European countries,RS
205,Other European countries,SE,Other European countries,HR
204,France,FR,Other European countries,AT
204,Hungary,HU,Netherlands,NL
199,Spain,ES,Czech Republic,CZ
199,Other European countries,GE,Other European countries,RU
198,Other European countries,AT,Netherlands,NL
198,Other European countries,EE,Germany,DE
198,Other European countries,IT,United Kingdom,GB
197,Spain,ES,Other European countries,SI
197,Other European countries,FI,Spain,ES
197,Other European countries,FI,United Kingdom,GB
196,United Kingdom,GB,Czech Republic,CZ
195,Other European countries,AT,Other European countries,IE
194,Germany,DE,Other European countries,FI
194,Other European countries,DK,Other European countries,IL
192,Belgium,BE,Other European countries,DK
192,Other European countries,SE,Other European countries,LT
191,Belgium,BE,Switzerland,CH
189,France,FR,Other European countries,IE
188,Other European countries,XK,Other European countries,MK
187,Germany,DE,Other European countries,LV
187,France,FR,Other European countries,GR
187,Other European countries,RO,Other European countries,IT
186,Other European countries,EE,Other European countries,SE
185,Other European countries,BG,Other European countries,MK
185,Czech Republic,CZ,Belgium,BE
185,Other European countries,PT,France,FR
185,Other European countries,Other European countries,Poland,PL
184,Belgium,BE,Other European countries,LU
184,Other European countries,GE,Other European countries,AM
183,Germany,DE,Other European countries,SI
183,Other European countries,IE,Hungary,HU
183,Other European countries,LT,Other European countries,BY
182,Czech Republic,CZ,Spain,ES
182,France,FR,Other European countries,UA
182,Poland,PL,Other European countries,RO
180,Germany,DE,Other European countries,BG
180,Other European countries,GR,Other European countries,BG
