result_count,comp_country,comp_iso,person_country,person_iso
11,Other European countries,AL,Other European countries,FI
11,Other European countries,AT,Other European countries,EE
11,Other European countries,BG,Other European countries,IL
11,Other European countries,BG,Other European countries,MT
11,Germany,DE,Other European countries,MK
11,Other European countries,EE,Other European countries,IE
11,Other European countries,EE,Other European countries,RO
11,Other European countries,IL,Other European countries,IE
11,Other European countries,ME,Other European countries,TR
11,Other European countries,MK,Other European countries,FI
11,Other European countries,PT,Other European countries,DK
11,Other European countries,RS,Switzerland,CH
11,Other European countries,RS,Other European countries,LV
11,Other European countries,SE,Other European countries,BY
11,Other European countries,SI,Switzerland,CH
11,Other European countries,XK,Other European countries,GR
10,Other European countries,AL,Switzerland,CH
10,Other European countries,BA,Other European countries,IE
10,Other European countries,BA,Other European countries,XK
10,Switzerland,CH,Other European countries,AL
10,Other European countries,EE,Other European countries,AZ
10,Other European countries,GE,Other European countries,FI
10,Other European countries,GE,Other European countries,IT
10,Other European countries,IS,Other European countries,IL
10,Other European countries,LV,Other European countries,LU
10,Other European countries,LV,Other European countries,NO
10,Other European countries,MD,Other European countries,AM
10,Other European countries,MT,France,FR
10,Other European countries,RO,Other European countries,FI
10,Other European countries,SI,Other European countries,TR
10,Other European countries,SK,Other European countries,BY
10,Other European countries,TR,Other European countries,FI
10,Other European countries,Other European countries,Other European countries,HR
10,Other European countries,XK,France,FR
10,Other European countries,XK,Netherlands,NL
9,Other European countries,AT,Other European countries,LV
9,Belgium,BE,Other European countries,AZ
9,Belgium,BE,Other European countries,CY
9,Belgium,BE,Other European countries,ME
9,Other European countries,DK,Other European countries,XK
9,Other European countries,EE,Other European countries,LU
9,France,FR,Other European countries,HR
9,France,FR,Other European countries,LT
9,Other European countries,GE,Belgium,BE
9,Other European countries,GR,Other European countries,IL
9,Hungary,HU,Switzerland,CH
9,Hungary,HU,Other European countries,IS
9,Other European countries,LI,Hungary,HU
9,Other European countries,LI,Other European countries,LT
9,Other European countries,LT,Other European countries,DK
9,Other European countries,MD,Poland,PL
9,Other European countries,MK,France,FR
9,Other European countries,MT,United Kingdom,GB
9,Other European countries,RS,United Kingdom,GB
9,Other European countries,TR,Other European countries,AL
9,Other European countries,TR,Other European countries,AT
9,Other European countries,UA,Other European countries,EE
9,Other European countries,Other European countries,Other European countries,AT
8,Other European countries,AM,Switzerland,CH
8,Other European countries,BA,Other European countries,FI
8,Other European countries,BG,Netherlands,NL
8,Other European countries,BG,Other European countries,XK
8,Switzerland,CH,Other European countries,AM
8,Switzerland,CH,Other European countries,CY
8,Czech Republic,CZ,Other European countries,LU
8,Other European countries,FI,Other European countries,LT
8,Other European countries,GR,Belgium,BE
8,Other European countries,HR,Czech Republic,CZ
8,Other European countries,LI,Belgium,BE
8,Other European countries,MD,Netherlands,NL
8,Other European countries,ME,Other European countries,SI
8,Other European countries,MT,Other European countries,GR
8,Other European countries,MT,Netherlands,NL
8,Other European countries,NO,Other European countries,BY
8,Other European countries,PT,Other European countries,LU
8,Other European countries,RS,Other European countries,BY
8,Other European countries,SM,Belgium,BE
8,Other European countries,UA,Other European countries,IT
7,Other European countries,AD,Other European countries,RU
7,Other European countries,AL,Germany,DE
7,Other European countries,AL,Other European countries,RO
7,Other European countries,AZ,United Kingdom,GB
7,Belgium,BE,Other European countries,LT
7,Other European countries,BG,Other European countries,AT
7,Switzerland,CH,Other European countries,AD
7,Other European countries,CY,Other European countries,LU
7,Other European countries,IE,Other European countries,IS
7,Other European countries,LI,Other European countries,DK
7,Other European countries,LT,Hungary,HU
7,Other European countries,LT,Other European countries,SE
7,Other European countries,ME,Netherlands,NL
7,Netherlands,NL,Other European countries,MK
7,Poland,PL,Other European countries,BG
7,Other European countries,RS,Other European countries,TR
7,Other European countries,RU,Other European countries,CY
7,Other European countries,SE,Other European countries,BG
7,Other European countries,SM,Other European countries,EE
7,Other European countries,UA,Czech Republic,CZ
7,Other European countries,UA,Germany,DE
7,Other European countries,Other European countries,Other European countries,BG
6,Other European countries,AM,Other European countries,IL
6,Other European countries,AT,Other European countries,TR
6,Other European countries,BA,Other European countries,DK
6,Other European countries,BA,Other European countries,LU
6,Belgium,BE,Other European countries,RS
6,Other European countries,BG,Other European countries,AL
6,Germany,DE,Other European countries,ME
6,Other European countries,EE,Hungary,HU
6,Other European countries,EE,Other European countries,TR
6,United Kingdom,GB,Other European countries,HR
6,Other European countries,HR,Other European countries,DK
6,Other European countries,IE,Other European countries,LU
6,Other European countries,IE,Other European countries,NO
6,Other European countries,IL,Hungary,HU
6,Other European countries,IL,Other European countries,RO
6,Other European countries,IT,Other European countries,BY
6,Other European countries,IT,Other European countries,LU
6,Other European countries,LT,Belgium,BE
6,Other European countries,LV,Hungary,HU
6,Other European countries,ME,Other European countries,SE
6,Other European countries,MK,Netherlands,NL
6,Other European countries,MT,Other European countries,SK
6,Other European countries,RO,Other European countries,LU
6,Other European countries,RS,Other European countries,LU
6,Other European countries,RU,Other European countries,SE
6,Other European countries,UA,Other European countries,AT
5,Other European countries,AL,Other European countries,RU
5,Other European countries,AM,Belgium,BE
5,Other European countries,AM,Netherlands,NL
5,Other European countries,AT,Other European countries,MT
5,Belgium,BE,Other European countries,IL
5,Czech Republic,CZ,Other European countries,MD
5,Germany,DE,Other European countries,GE
5,Other European countries,DK,Other European countries,MK
5,United Kingdom,GB,Other European countries,LU
5,Other European countries,GR,Other European countries,SK
5,Hungary,HU,Other European countries,GR
5,Other European countries,IE,Other European countries,MD
5,Other European countries,IL,Other European countries,BY
5,Other European countries,LU,Other European countries,PT
5,Other European countries,LV,Switzerland,CH
5,Other European countries,ME,United Kingdom,GB
5,Other European countries,MT,Other European countries,BG
5,Other European countries,MT,Poland,PL
4,Other European countries,AZ,Other European countries,TR
4,Other European countries,CY,Other European countries,AT
4,Other European countries,CY,Other European countries,BG
4,Other European countries,CY,Other European countries,LT
4,Czech Republic,CZ,Other European countries,ME
4,Czech Republic,CZ,Other European countries,TR
4,Other European countries,DK,Other European countries,BA
4,Other European countries,EE,Belgium,BE
4,Other European countries,FI,Other European countries,BG
4,France,FR,Other European countries,IS
4,Other European countries,GE,Other European countries,CY
4,Other European countries,GE,France,FR
4,Other European countries,GR,Other European countries,AT
4,Other European countries,HR,United Kingdom,GB
4,Hungary,HU,Other European countries,BG
4,Hungary,HU,Other European countries,LU
4,Other European countries,IT,Other European countries,MK
4,Other European countries,LU,Switzerland,CH
4,Other European countries,MT,Czech Republic,CZ
4,Netherlands,NL,Other European countries,HR
4,Netherlands,NL,Other European countries,XK
4,Other European countries,NO,Other European countries,RS
4,Poland,PL,Other European countries,LU
4,Other European countries,RO,Spain,ES
4,Other European countries,SI,Other European countries,LU
4,Other European countries,TR,Other European countries,LU
4,Other European countries,UA,Other European countries,LT
4,Other European countries,Other European countries,Belgium,BE
4,Other European countries,Other European countries,Other European countries,LT
4,Other European countries,Other European countries,Other European countries,RS
3,Other European countries,AD,Germany,DE
3,Other European countries,AD,Netherlands,NL
3,Other European countries,AT,Other European countries,IL
3,Belgium,BE,Other European countries,BY
3,Other European countries,CY,Other European countries,RS
3,Spain,ES,Other European countries,IS
3,Other European countries,FI,Other European countries,BY
3,Other European countries,FI,Other European countries,LU
3,Other European countries,FI,Other European countries,RO
3,France,FR,Other European countries,ME
3,United Kingdom,GB,Other European countries,MK
3,Other European countries,GE,Other European countries,AZ
3,Other European countries,IE,Other European countries,BY
3,Other European countries,IL,Poland,PL
3,Other European countries,MT,Other European countries,SE
3,Other European countries,PT,Other European countries,IL
3,Other European countries,RO,Other European countries,IE
3,Other European countries,RO,Other European countries,SI
3,Other European countries,SE,Other European countries,GE
3,Other European countries,SM,Other European countries,RU
3,Other European countries,TR,Other European countries,NO
3,Other European countries,UA,Other European countries,AZ
3,Other European countries,Other European countries,Other European countries,AM
3,Other European countries,Other European countries,Other European countries,MT
2,Other European countries,AM,France,FR
2,Other European countries,AT,Other European countries,AM
2,Belgium,BE,Other European countries,MK
2,Other European countries,BG,United Kingdom,GB
2,Other European countries,BG,Other European countries,SE
2,Other European countries,BY,Other European countries,LT
2,Switzerland,CH,Other European countries,BA
2,Other European countries,CY,Other European countries,EE
2,Czech Republic,CZ,Other European countries,AZ
2,Czech Republic,CZ,Other European countries,BA
2,Other European countries,EE,Other European countries,BY
2,Hungary,HU,Other European countries,TR
2,Other European countries,IL,Germany,DE
2,Other European countries,IL,Other European countries,FI
2,Other European countries,IL,Other European countries,LV
2,Other European countries,LI,Poland,PL
2,Other European countries,LI,Other European countries,RS
2,Other European countries,LV,Other European countries,AZ
2,Other European countries,MT,Belgium,BE
2,Netherlands,NL,Other European countries,AL
2,Other European countries,RU,Other European countries,GR
2,Other European countries,UA,Other European countries,TR
2,Other European countries,Other European countries,Other European countries,GR
2,Other European countries,XK,Other European countries,RS
1,Other European countries,AM,Other European countries,NO
1,Belgium,BE,Other European countries,IS
1,Other European countries,BG,Other European countries,MD
1,Switzerland,CH,Other European countries,MD
1,Switzerland,CH,Other European countries,ME
1,Switzerland,CH,Other European countries,MT
1,Germany,DE,Other European countries,AM
1,Other European countries,FI,Other European countries,SK
1,France,FR,Other European countries,BA
1,France,FR,Other European countries,MC
1,United Kingdom,GB,Other European countries,BY
1,United Kingdom,GB,Other European countries,ME
1,Hungary,HU,Other European countries,LT
1,Hungary,HU,Other European countries,PT
1,Other European countries,IE,Other European countries,HR
1,Other European countries,IL,Spain,ES
1,Other European countries,IT,Other European countries,ME
1,Other European countries,ME,Other European countries,AZ
1,Other European countries,MT,Other European countries,RU
1,Netherlands,NL,Other European countries,SI
1,Other European countries,RU,Other European countries,AZ
1,Other European countries,SE,Other European countries,BA
1,Other European countries,SK,Other European countries,GR
1,Other European countries,SM,Netherlands,NL
1,Other European countries,Other European countries,Other European countries,MD
