id,name,country_id,full_date,year,month,day,wgs_long,wgs_lat,championship_type,is_championship
3rdGuwahatiOpen2017,3rd Guwahati Open 2017,India,2017-06-10,2017,6,10,91.746709,26.187337,,0
3RegularFortaleza2020,3-Regular Fortaleza 2020,Brazil,2020-01-11,2020,1,11,-38.550338,-3.755978,,0
3x3at3inPrague2025,3x3 at 3 in Prague 2025,Czech Republic,2025-11-01,2025,11,1,14.48182,50.094509,,0
3x3inMadison2026,3x3 in Madison 2026,USA,2026-05-08,2026,5,8,-89.380468,43.071248,,0
3x3OnlyCalgary2019,3x3 Only Calgary 2019,Canada,2019-03-09,2019,3,9,-114.104875,50.941042,,0
3x3OnlyMinnesota2019,3x3 Only Minnesota 2019,USA,2019-08-24,2019,8,24,-93.455349,45.008782,,0
3x3sin303Colorado2025,3x3s in 303 Colorado 2025,USA,2025-12-06,2025,12,6,-105.006122,39.743696,,0
3x3x3CubeFrisco2019,3x3x3 Cube Frisco 2019,USA,2019-03-09,2019,3,9,-96.819106,33.102185,,0
3x3x3HanMaDang2017,3x3x3 HanMaDang 2017,Korea,2017-02-18,2017,2,18,127.038406,37.654108,,0
3x3x3paaBiblioteket2022,Tre Gange Tre Gange Tre på Biblioteket 2022,Denmark,2022-12-17,2022,12,17,12.561067,55.702095,,0
40thAnniversaryPeru2014,40th Anniversary Peru 2014,Peru,2014-11-08,2014,11,8,-71.519907,-16.410336,,0
444Puebla2025,444 Puebla 2025,Mexico,2025-04-26,2025,4,26,-98.165921,19.049593,,0
4BLDinaMadisonHall2023,4BLD in a Madison Hall 2023,USA,2023-01-28,2023,1,28,-89.380468,43.071248,,0
4BLDMadnessinDobrejovice2025,4BLD Madness in Dobřejovice 2025,Czech Republic,2025-10-18,2025,10,18,14.580686,49.983233,,0
4thGuwahatiOpen2018,4th Guwahati Open 2018,India,2018-09-01,2018,9,1,91.746736,26.187422,,0
4x4byFourMadisonLakes2024,4x4 by Four Madison Lakes 2024,USA,2024-12-07,2024,12,7,-89.380278,43.071556,,0
4x4byRoad44Israel2024,4x4 by Road 44 Israel 2024,Israel,2024-09-27,2024,9,27,34.824771,31.94182,,0
50andCountingIreland2024,50 and Counting Ireland 2024,Ireland,2024-04-27,2024,4,27,-6.47344,52.328492,,0
50AnosCubeandoAvesMaria2024,50 Años Cubeando Aves María 2024,Colombia,2024-05-18,2024,5,18,-75.617354,6.148992,,0
50thAnniversaryinElverum2024,50th Anniversary in Elverum 2024,Norway,2024-05-18,2024,5,18,11.564437,60.881594,,0
50thAnniversaryinIndo2024,50th Anniversary in Indonesia 2024,Indonesia,2024-12-07,2024,12,7,106.838534,-6.190357,,0
50YearsofCubingBulgaria2024,50 Years of Cubing Bulgaria 2024,Bulgaria,2024-05-11,2024,5,11,23.373769,42.665807,,0
